sequence,label
"['1726408799591127578', '1726408799591029682', '1726408799590751232', '1726408799555650108', '1726408799550772807', '1726408799546777031', '1726408799546717151', '1726408799529419628', '1726408799525230670', '1726408799521067374']",normal
"['1726408799591029682', '1726408799590751232', '1726408799555650108', '1726408799550772807', '1726408799546777031', '1726408799546717151', '1726408799529419628', '1726408799525230670', '1726408799521067374', '1726408799521004760']",normal
"['1726408799590751232', '1726408799555650108', '1726408799550772807', '1726408799546777031', '1726408799546717151', '1726408799529419628', '1726408799525230670', '1726408799521067374', '1726408799521004760', '1726408799516480748']",normal
"['1726408799555650108', '1726408799550772807', '1726408799546777031', '1726408799546717151', '1726408799529419628', '1726408799525230670', '1726408799521067374', '1726408799521004760', '1726408799516480748', '1726408799515938163']",normal
"['1726408799550772807', '1726408799546777031', '1726408799546717151', '1726408799529419628', '1726408799525230670', '1726408799521067374', '1726408799521004760', '1726408799516480748', '1726408799515938163', '1726408799515784643']",normal
"['1726408799546777031', '1726408799546717151', '1726408799529419628', '1726408799525230670', '1726408799521067374', '1726408799521004760', '1726408799516480748', '1726408799515938163', '1726408799515784643', '1726408799511201660']",normal
"['1726408799546717151', '1726408799529419628', '1726408799525230670', '1726408799521067374', '1726408799521004760', '1726408799516480748', '1726408799515938163', '1726408799515784643', '1726408799511201660', '1726408799506799395']",normal
"['1726408799529419628', '1726408799525230670', '1726408799521067374', '1726408799521004760', '1726408799516480748', '1726408799515938163', '1726408799515784643', '1726408799511201660', '1726408799506799395', '1726408799506683087']",normal
"['1726408799525230670', '1726408799521067374', '1726408799521004760', '1726408799516480748', '1726408799515938163', '1726408799515784643', '1726408799511201660', '1726408799506799395', '1726408799506683087', '1726408799503236901']",normal
"['1726408799521067374', '1726408799521004760', '1726408799516480748', '1726408799515938163', '1726408799515784643', '1726408799511201660', '1726408799506799395', '1726408799506683087', '1726408799503236901', '1726408799501433796']",normal
"['1726408799521004760', '1726408799516480748', '1726408799515938163', '1726408799515784643', '1726408799511201660', '1726408799506799395', '1726408799506683087', '1726408799503236901', '1726408799501433796', '1726408799500244395']",normal
"['1726408799516480748', '1726408799515938163', '1726408799515784643', '1726408799511201660', '1726408799506799395', '1726408799506683087', '1726408799503236901', '1726408799501433796', '1726408799500244395', '1726408799492022455']",normal
"['1726408799515938163', '1726408799515784643', '1726408799511201660', '1726408799506799395', '1726408799506683087', '1726408799503236901', '1726408799501433796', '1726408799500244395', '1726408799492022455', '1726408799485654061']",normal
"['1726408799515784643', '1726408799511201660', '1726408799506799395', '1726408799506683087', '1726408799503236901', '1726408799501433796', '1726408799500244395', '1726408799492022455', '1726408799485654061', '1726408799474679190']",normal
"['1726408799511201660', '1726408799506799395', '1726408799506683087', '1726408799503236901', '1726408799501433796', '1726408799500244395', '1726408799492022455', '1726408799485654061', '1726408799474679190', '1726408799467748189']",normal
"['1726408799506799395', '1726408799506683087', '1726408799503236901', '1726408799501433796', '1726408799500244395', '1726408799492022455', '1726408799485654061', '1726408799474679190', '1726408799467748189', '1726408799466327773']",normal
"['1726408799506683087', '1726408799503236901', '1726408799501433796', '1726408799500244395', '1726408799492022455', '1726408799485654061', '1726408799474679190', '1726408799467748189', '1726408799466327773', '1726408799460797212']",normal
"['1726408799503236901', '1726408799501433796', '1726408799500244395', '1726408799492022455', '1726408799485654061', '1726408799474679190', '1726408799467748189', '1726408799466327773', '1726408799460797212', '1726408799450321026']",normal
"['1726408799501433796', '1726408799500244395', '1726408799492022455', '1726408799485654061', '1726408799474679190', '1726408799467748189', '1726408799466327773', '1726408799460797212', '1726408799450321026', '1726408799442699665']",normal
"['1726408799500244395', '1726408799492022455', '1726408799485654061', '1726408799474679190', '1726408799467748189', '1726408799466327773', '1726408799460797212', '1726408799450321026', '1726408799442699665', '1726408799433575596']",normal
"['1726408799492022455', '1726408799485654061', '1726408799474679190', '1726408799467748189', '1726408799466327773', '1726408799460797212', '1726408799450321026', '1726408799442699665', '1726408799433575596', '1726408799411983969']",normal
"['1726408799485654061', '1726408799474679190', '1726408799467748189', '1726408799466327773', '1726408799460797212', '1726408799450321026', '1726408799442699665', '1726408799433575596', '1726408799411983969', '1726408799403382566']",normal
"['1726408799474679190', '1726408799467748189', '1726408799466327773', '1726408799460797212', '1726408799450321026', '1726408799442699665', '1726408799433575596', '1726408799411983969', '1726408799403382566', '1726408799395935507']",normal
"['1726408799467748189', '1726408799466327773', '1726408799460797212', '1726408799450321026', '1726408799442699665', '1726408799433575596', '1726408799411983969', '1726408799403382566', '1726408799395935507', '1726408799389062918']",normal
"['1726408799466327773', '1726408799460797212', '1726408799450321026', '1726408799442699665', '1726408799433575596', '1726408799411983969', '1726408799403382566', '1726408799395935507', '1726408799389062918', '1726408799382334230']",normal
"['1726408799460797212', '1726408799450321026', '1726408799442699665', '1726408799433575596', '1726408799411983969', '1726408799403382566', '1726408799395935507', '1726408799389062918', '1726408799382334230', '1726408799375298592']",normal
"['1726408799450321026', '1726408799442699665', '1726408799433575596', '1726408799411983969', '1726408799403382566', '1726408799395935507', '1726408799389062918', '1726408799382334230', '1726408799375298592', '1726408799374936615']",normal
"['1726408799442699665', '1726408799433575596', '1726408799411983969', '1726408799403382566', '1726408799395935507', '1726408799389062918', '1726408799382334230', '1726408799375298592', '1726408799374936615', '1726408799367230767']",normal
"['1726408799433575596', '1726408799411983969', '1726408799403382566', '1726408799395935507', '1726408799389062918', '1726408799382334230', '1726408799375298592', '1726408799374936615', '1726408799367230767', '1726408799360142018']",normal
"['1726408799411983969', '1726408799403382566', '1726408799395935507', '1726408799389062918', '1726408799382334230', '1726408799375298592', '1726408799374936615', '1726408799367230767', '1726408799360142018', '1726408799360130003']",normal
"['1726408799403382566', '1726408799395935507', '1726408799389062918', '1726408799382334230', '1726408799375298592', '1726408799374936615', '1726408799367230767', '1726408799360142018', '1726408799360130003', '1726408799359768584']",normal
"['1726408799395935507', '1726408799389062918', '1726408799382334230', '1726408799375298592', '1726408799374936615', '1726408799367230767', '1726408799360142018', '1726408799360130003', '1726408799359768584', '1726408799359238914']",normal
"['1726408799389062918', '1726408799382334230', '1726408799375298592', '1726408799374936615', '1726408799367230767', '1726408799360142018', '1726408799360130003', '1726408799359768584', '1726408799359238914', '1726408799349445380']",normal
"['1726408799382334230', '1726408799375298592', '1726408799374936615', '1726408799367230767', '1726408799360142018', '1726408799360130003', '1726408799359768584', '1726408799359238914', '1726408799349445380', '1726408799347950466']",normal
"['1726408799375298592', '1726408799374936615', '1726408799367230767', '1726408799360142018', '1726408799360130003', '1726408799359768584', '1726408799359238914', '1726408799349445380', '1726408799347950466', '1726408799347855487']",normal
"['1726408799374936615', '1726408799367230767', '1726408799360142018', '1726408799360130003', '1726408799359768584', '1726408799359238914', '1726408799349445380', '1726408799347950466', '1726408799347855487', '1726408799342761078']",normal
"['1726408799367230767', '1726408799360142018', '1726408799360130003', '1726408799359768584', '1726408799359238914', '1726408799349445380', '1726408799347950466', '1726408799347855487', '1726408799342761078', '1726408799342159514']",normal
"['1726408799360142018', '1726408799360130003', '1726408799359768584', '1726408799359238914', '1726408799349445380', '1726408799347950466', '1726408799347855487', '1726408799342761078', '1726408799342159514', '1726408799336791074']",normal
"['1726408799360130003', '1726408799359768584', '1726408799359238914', '1726408799349445380', '1726408799347950466', '1726408799347855487', '1726408799342761078', '1726408799342159514', '1726408799336791074', '1726408799336720378']",normal
"['1726408799359768584', '1726408799359238914', '1726408799349445380', '1726408799347950466', '1726408799347855487', '1726408799342761078', '1726408799342159514', '1726408799336791074', '1726408799336720378', '1726408799331033112']",normal
"['1726408799359238914', '1726408799349445380', '1726408799347950466', '1726408799347855487', '1726408799342761078', '1726408799342159514', '1726408799336791074', '1726408799336720378', '1726408799331033112', '1726408799308733918']",normal
"['1726408799349445380', '1726408799347950466', '1726408799347855487', '1726408799342761078', '1726408799342159514', '1726408799336791074', '1726408799336720378', '1726408799331033112', '1726408799308733918', '1726408799294822365']",normal
"['1726408799347950466', '1726408799347855487', '1726408799342761078', '1726408799342159514', '1726408799336791074', '1726408799336720378', '1726408799331033112', '1726408799308733918', '1726408799294822365', '1726408799287998572']",normal
"['1726408799347855487', '1726408799342761078', '1726408799342159514', '1726408799336791074', '1726408799336720378', '1726408799331033112', '1726408799308733918', '1726408799294822365', '1726408799287998572', '1726408799287855130']",normal
"['1726408799342761078', '1726408799342159514', '1726408799336791074', '1726408799336720378', '1726408799331033112', '1726408799308733918', '1726408799294822365', '1726408799287998572', '1726408799287855130', '1726408799286013046']",normal
"['1726408799342159514', '1726408799336791074', '1726408799336720378', '1726408799331033112', '1726408799308733918', '1726408799294822365', '1726408799287998572', '1726408799287855130', '1726408799286013046', '1726408799242168789']",normal
"['1726408799336791074', '1726408799336720378', '1726408799331033112', '1726408799308733918', '1726408799294822365', '1726408799287998572', '1726408799287855130', '1726408799286013046', '1726408799242168789', '1726408799237698081']",normal
"['1726408799336720378', '1726408799331033112', '1726408799308733918', '1726408799294822365', '1726408799287998572', '1726408799287855130', '1726408799286013046', '1726408799242168789', '1726408799237698081', '1726408799229505314']",normal
"['1726408799331033112', '1726408799308733918', '1726408799294822365', '1726408799287998572', '1726408799287855130', '1726408799286013046', '1726408799242168789', '1726408799237698081', '1726408799229505314', '1726408799222049894']",normal
"['1726408799308733918', '1726408799294822365', '1726408799287998572', '1726408799287855130', '1726408799286013046', '1726408799242168789', '1726408799237698081', '1726408799229505314', '1726408799222049894', '1726408799216780625']",normal
"['1726408799294822365', '1726408799287998572', '1726408799287855130', '1726408799286013046', '1726408799242168789', '1726408799237698081', '1726408799229505314', '1726408799222049894', '1726408799216780625', '1726408799215708093']",normal
"['1726408799287998572', '1726408799287855130', '1726408799286013046', '1726408799242168789', '1726408799237698081', '1726408799229505314', '1726408799222049894', '1726408799216780625', '1726408799215708093', '1726408799214610725']",normal
"['1726408799287855130', '1726408799286013046', '1726408799242168789', '1726408799237698081', '1726408799229505314', '1726408799222049894', '1726408799216780625', '1726408799215708093', '1726408799214610725', '1726408799211718070']",normal
"['1726408799286013046', '1726408799242168789', '1726408799237698081', '1726408799229505314', '1726408799222049894', '1726408799216780625', '1726408799215708093', '1726408799214610725', '1726408799211718070', '1726408799211279575']",normal
"['1726408799242168789', '1726408799237698081', '1726408799229505314', '1726408799222049894', '1726408799216780625', '1726408799215708093', '1726408799214610725', '1726408799211718070', '1726408799211279575', '1726408799210159153']",normal
"['1726408799237698081', '1726408799229505314', '1726408799222049894', '1726408799216780625', '1726408799215708093', '1726408799214610725', '1726408799211718070', '1726408799211279575', '1726408799210159153', '1726408799204232459']",normal
"['1726408799229505314', '1726408799222049894', '1726408799216780625', '1726408799215708093', '1726408799214610725', '1726408799211718070', '1726408799211279575', '1726408799210159153', '1726408799204232459', '1726408799203415587']",normal
"['1726408799222049894', '1726408799216780625', '1726408799215708093', '1726408799214610725', '1726408799211718070', '1726408799211279575', '1726408799210159153', '1726408799204232459', '1726408799203415587', '1726408799200764571']",normal
"['1726408799216780625', '1726408799215708093', '1726408799214610725', '1726408799211718070', '1726408799211279575', '1726408799210159153', '1726408799204232459', '1726408799203415587', '1726408799200764571', '1726408799200395664']",normal
"['1726408799215708093', '1726408799214610725', '1726408799211718070', '1726408799211279575', '1726408799210159153', '1726408799204232459', '1726408799203415587', '1726408799200764571', '1726408799200395664', '1726408799199718388']",normal
